"fyear","act","at","bkvlps","ceq","csho","dltt","emp","lct","ni","oibdp","rdip","sale","xad","xsga","prcc_f","busdesc","conml","gsubind","sic"
"35",2015,472.052,642.344,14.8047,412.665,27.874,0,10.5,193.064,66.842,118.898,0,1011.091,7.074,275.713,40.33,"The Cato Corporation, together with its subsidiaries, operates as a specialty retailer of fashion apparel and accessories primarily in the southeastern United States. It operates through two segments, Retail and Credit.","Cato Corp (The)",25504010,5621
"36",2016,443.808,606.324,14.4297,383.903,26.605,0,10.2,171.912,47.212,64.965,0,956.569,6.868,289.619,25.39,"The Cato Corporation, together with its subsidiaries, operates as a specialty retailer of fashion apparel and accessories primarily in the southeastern United States. It operates through two segments, Retail and Credit.","Cato Corp (The)",25504010,5621
"37",2017,372.48,516.076,13.1589,326.353,24.801,0,10.5,139.081,8.54,30.619,0,849.981,5.558,266.304,11.88,"The Cato Corporation, together with its subsidiaries, operates as a specialty retailer of fashion apparel and accessories primarily in the southeastern United States. It operates through two segments, Retail and Credit.","Cato Corp (The)",25504010,5621
"38",2018,370.588,497.906,12.8785,316.836,24.602,0,10.35,141.086,30.461,44.619,0,829.664,5.546,262.51,14.85,"The Cato Corporation, together with its subsidiaries, operates as a specialty retailer of fashion apparel and accessories primarily in the southeastern United States. It operates through two segments, Retail and Credit.","Cato Corp (The)",25504010,5621
"39",2019,362.797,684.976,13.0253,316.514,24.3,147.184,10.06,199.302,35.897,52.656,0,825.335,5.6,263.773,16.04,"The Cato Corporation, together with its subsidiaries, operates as a specialty retailer of fashion apparel and accessories primarily in the southeastern United States. It operates through two segments, Retail and Credit.","Cato Corp (The)",25504010,5621
"40",2010,537.909,1022.658,3.5859,414.42,115.568,128.35,27,261.333,-53.982,33.12,0,2061.819,68.1,981.875,3.11,"Charming Shoppes, Inc. operates as a specialty apparel retailer primarily for women in the United States. The company operates retail stores and related e-commerce Web sites under the LANE BRYANT, CACIQUE, LANE BRYANT OUTLET, FASHION BUG, FASHION BUG PLUS, and CATHERINES PLUS SIZES brand names.","Charming Shoppes Inc",25504010,5621
"41",2011,559.319,1017.926,3.5761,416.946,116.594,133.639,23,261.979,-2.017,81.416,0,1992.371,61.345,917.718,4.96,"Charming Shoppes, Inc. operates as a specialty apparel retailer primarily for women in the United States. The company operates retail stores and related e-commerce Web sites under the LANE BRYANT, CACIQUE, LANE BRYANT OUTLET, FASHION BUG, FASHION BUG PLUS, and CATHERINES PLUS SIZES brand names.","Charming Shoppes Inc",25504010,5621
"42",2010,17213,43705,21.9974,15487,704.038,15607,355,10070,2920,7336,0,67390,1292,13469,54.83,"Target Corporation operates as a general merchandise retailer in the United States.","Target Corp",25503020,5331
"43",2011,16449,46630,23.6384,15821,669.293,13697,365,14287,2929,7453,0,69865,1360,14106,50.81,"Target Corporation operates as a general merchandise retailer in the United States.","Target Corp",25503020,5331
"44",2012,16388,48163,25.6594,16558,645.3,14654,361,14031,2999,7352,0,73301,1422,14914,60.41,"Target Corporation operates as a general merchandise retailer in the United States.","Target Corp",25503020,5331
"45",2013,11573,44553,25.6442,16231,632.931,12622,366,12777,1971,6195,0,72596,1668,15241,56.64,"Target Corporation operates as a general merchandise retailer in the United States.","Target Corp",25503020,5331
"46",2014,14087,41404,21.863,13997,640.214,12705,347,11736,-1636,6891,0,72618,1600,14449,73.61,"Target Corporation operates as a general merchandise retailer in the United States.","Target Corp",25503020,5331
"47",2015,14130,40262,21.5151,12957,602.227,11945,341,12622,3363,7339,0,73785,1434,14449,72.42,"Target Corporation operates as a general merchandise retailer in the United States.","Target Corp",25503020,5331
"48",2016,11990,37431,19.6941,10953,556.156,11031,323,12708,2737,7271,0,69495,1465,13352,64.48,"Target Corporation operates as a general merchandise retailer in the United States.","Target Corp",25503020,5331
"49",2017,12564,38999,21.616,11709,541.682,11317,345,13201,2934,6752,0,71879,1457,14253,75.22,"Target Corporation operates as a general merchandise retailer in the United States.","Target Corp",25503020,5331
"50",2018,12519,41290,21.8189,11297,517.762,12227,360,15014,2937,6584,0,75356,1494,15723,73,"Target Corporation operates as a general merchandise retailer in the United States.","Target Corp",25503020,5331
"51",2019,12902,42779,23.4689,11833,504.199,13613,368,14487,3281,7245,0,78112,1647,16250,110.74,"Target Corporation operates as a general merchandise retailer in the United States.","Target Corp",25503020,5331
"52",2010,1701.926,4374.166,34.792,2086.72,59.977,908.629,38.9,831.212,179.62,592.734,0,6245.635,106,1676.838,39.72,"Dillard's, Inc. operates retail department stores primarily in the Southeastern, Southwestern, and Midwestern areas of the United States.","Dillard's Inc.",25503010,5311
"53",2011,1591.729,4306.137,41.5036,2052.019,49.442,823.938,38.9,870.364,463.909,679.198,0,6399.765,91,1679.017,44.25,"Dillard's, Inc. operates retail department stores primarily in the Southeastern, Southwestern, and Midwestern areas of the United States.","Dillard's Inc.",25503010,5311
"54",2012,1491.98,4048.744,41.2438,1970.175,47.769,822.309,38,767.116,335.962,798.123,0,6751.595,77,1706.364,84.41,"Dillard's, Inc. operates retail department stores primarily in the Southeastern, Southwestern, and Midwestern areas of the United States.","Dillard's Inc.",25503010,5311
"55",2013,1660.156,4050.739,45.3308,1992.197,43.948,821.544,40,778.311,323.671,807.713,0,6691.777,65,1660.349,87.3,"Dillard's, Inc. operates retail department stores primarily in the Southeastern, Southwestern, and Midwestern areas of the United States.","Dillard's Inc.",25503010,5311
"56",2014,1888.442,4170.071,49.0209,2019.27,41.192,820.704,40,885.323,331.853,816.688,0,6780.129,56,1690.836,113.6,"Dillard's, Inc. operates retail department stores primarily in the Southeastern, Southwestern, and Midwestern areas of the United States.","Dillard's Inc.",25503010,5311
"57",2015,1668.883,3865.625,49.9807,1795.305,35.92,822.054,40,751.216,269.37,707.092,0,6754.545,50,1696.648,70.41,"Dillard's, Inc. operates retail department stores primarily in the Southeastern, Southwestern, and Midwestern areas of the United States.","Dillard's Inc.",25503010,5311
"58",2016,1837.921,3888.136,53.4073,1717.417,32.157,730.094,40,976.517,169.22,569.986,0,6418.009,43,1681.612,56.44,"Dillard's, Inc. operates retail department stores primarily in the Southeastern, Southwestern, and Midwestern areas of the United States.","Dillard's Inc.",25503010,5311
